total_Mo,pic_intensite,ratio_actif,ratio_passif,ratio_upload,presence
-0.057783882409280264,-0.1774953071395983,-0.05895900040863773,0.018115549056765635,-0.8591623409585712,-1.6067926599016493
-0.16047425581736435,-0.26661080073493626,-0.05895900040863773,0.06035050382304528,0.5119380456047143,-1.6067926599016493
2.2488723565054634,0.5146424550634344,-0.016726305258315602,0.018115549056765635,1.8773567504987083,0.806506192055421
-0.23001062744069087,-0.12803003315998326,-0.01672630525987614,0.018115549056765635,-1.0096276577998369,0.806506192055421
-0.3235658564858176,-0.27301333619747514,-0.05895900040863773,0.060350398236851344,2.505049454643945,-1.6067926599016493
-0.32355078909407853,-0.2729669073688853,-0.05895900040863773,0.06035049464246438,0.5119376123613945,-1.6067926599016493
-0.2432971969751901,-0.2586807568117917,-0.016726305260144195,0.018115549056765635,-0.534982692324294,0.806506192055421
0.7059427426287741,0.26525232373454094,-0.02019521005436664,0.021584639452904345,-0.02623844499706846,0.7246994513111134
-0.29644311636576465,-0.2688231344172421,-0.016726305263842455,0.018115549056765635,-0.5277496464325062,0.6858412494575673
-0.30743944235592213,-0.26343274741796174,-0.02036938720903243,0.02175882591749173,0.9974055922905187,0.44451136426186033
0.07500504098732717,-0.1504969433146066,-0.05895900040863773,0.018115549056765635,-1.0734460407717787,-1.6067926599016493
-0.3109594720641116,-0.26861188324715835,-0.01672630527027375,0.018115549056765635,-0.3175461689031361,0.806506192055421
-0.2363446719298668,-0.2608443402240782,-0.016726305259993742,0.018115549056765635,-0.500784458931139,0.7260628969901852
0.3164112039568168,-0.19447432975490261,-0.016726305258493442,0.018115549056765635,-1.2133832540867915,0.806506192055421
-0.3231586781614398,-0.2725606551187242,-0.05895900040863773,0.06035050345316697,0.7481727807445884,-1.6067926599016493
-0.2747284936377783,-0.26548258020020316,-0.016726305261358928,0.018115549056765635,-0.6689838433522701,0.6456196019249496
5.97758472278653,2.1134864893560135,-0.02479304630239666,0.026182721703547268,-1.303335707136792,0.1290889704534363
-0.30142683555718014,-0.19764541874758862,-0.016726305265099776,0.018115549056765635,0.17904065849213696,0.806506192055421
-0.27961032856124374,-0.26767866379250255,-0.0271799563248099,0.028569759431698337,1.8339024863717772,0.34129195553357616
-0.312221904243394,-0.249910351091171,-0.03179119171716979,0.03318124153354742,0.10600303254105971,0.002073241403064052
-0.24956451444380714,-0.24385603184305593,-0.016726305260304046,0.018115549056765635,-0.17953490234299152,0.806506192055421
-0.2537780029194172,-0.19642666199710535,-0.02051113072827882,0.02190057702780269,0.4068395596136077,0.4792792290781911
1.0243841745911668,0.37180184246536363,-0.0245076476685134,0.025897307799615885,-0.9469709139608444,0.11114889572880741
-0.24029304606035326,-0.1479015717964346,-0.018252595317593743,0.019641920776859764,0.6225911641542774,0.27476237721742247
-0.2950719837175074,-0.2643450738997521,-0.01672630526357368,0.018115549056765635,0.3906896193527422,0.806506192055421
-0.2711116021255518,-0.2441856765260438,-0.018289174063715708,0.01967850147902086,0.27651584143499697,0.7246994513111134
0.1404739343359439,-0.19469486669070432,-0.0167263052585832,0.018115549056765635,-1.0043642212063242,0.806506192055421
-0.23845733550014073,-0.2609511265298348,-0.01672630526003686,0.018115549056765635,-0.5353071800535689,0.7662845445228029
-0.3041353785959929,-0.26996992648341117,-0.018528169137753788,0.01991750933533521,1.5359121545280652,0.6858412494575673
-0.3111280833526205,-0.2547737708859567,-0.01808071367424582,0.019470029926800567,-0.08138833268637322,0.7260628969901852
-0.3169613164401828,-0.26947545945892937,-0.01672630528119181,0.018115549056765635,-0.49901849005113336,0.806506192055421
-0.3176831162539697,-0.27109350413528527,-0.01672630528400521,0.018115549056765635,0.3695201533481237,0.806506192055421
0.0061553119303963824,-0.2184641054872727,-0.016726305258716212,0.018115549056765635,-1.1919175300529645,0.806506192055421
-0.30309823979795214,-0.2629614948077749,-0.01672630526565855,0.018115549056765635,-0.5584167232255908,0.806506192055421
-0.2684048528238508,-0.2606400533782829,-0.0167263052610033,0.018115549056765635,1.0642319213446712,0.806506192055421
-0.31589224912155206,-0.2710029679195351,-0.017977849108642478,0.01936715984997374,2.1903560435764837,0.7246994513111134
-0.31721315713067905,-0.27169940034838264,-0.021561891648215144,0.022951394145944763,2.3373905580812564,0.44451136426186033
0.37093184346987224,-0.16853222178032978,-0.01672630525847486,0.018115549056765635,1.0167591713930586,0.806506192055421
0.6641501029136044,0.15260902125130169,-0.034403425909896826,0.03579361550437421,-0.5991143757633773,-0.3796915487370374
-0.2625576285868165,-0.2633050681393397,-0.016726305260740062,0.018115549056765635,-0.46030970889547645,0.565176306859714
0.7235604697934174,-0.1826976573830898,-0.017670984955692158,0.019060279298169974,-0.8904654197304196,0.7390956095985195
0.6103735055545222,0.18520205892136912,-0.018885830508579296,0.02027518985009883,-0.794375350501969,0.6037079692018855
1.0034361951047623,1.214338830560893,-0.042558380291872665,0.04394900620881872,-1.3148297616412936,-0.4833604357147374
-0.2802779575142544,-0.27011617729346915,-0.05895900040863773,0.060350503820474195,0.5119380454833818,-1.6067926599016493
-0.097408970198555,0.8543250507924183,-0.016726305258926627,0.018115549056765635,-1.1938804018737124,0.806506192055421
-0.26357144880240385,-0.05428944615217063,-0.02656671995266536,0.02795649024989521,0.20098694152136357,-0.4295737077274688
-0.2852788965819431,-0.2682567027084461,-0.05895900040863773,0.06035050382001704,0.5258320779794848,-1.6067926599016493
-0.2667015200624888,-0.20348384394276095,-0.017954557536023066,0.019343867048239774,-0.3590089182576237,0.6019893401946522
1.115306915051021,1.289576747290728,-0.019150393230725996,0.020539766727458244,-1.3134110684990554,0.550226667953785
0.3918389257501278,-0.16561881278631732,-0.016726305258468483,0.018115549056765635,0.952992226930341,0.806506192055421
-0.32356729147550706,-0.2730179790803341,-0.05895900040863773,0.018115549056765635,-1.481183328928792,-1.6067926599016493
-0.3025891772056243,-0.2085097646376111,-0.01925552919309611,0.02064490830790236,-0.8267621923028109,0.48473301179447825
-0.3183464402379121,-0.25047213991710804,-0.01672630528727663,0.018115549056765635,0.12394155899777073,0.806506192055421
-0.31152629299143936,-0.2712304691796253,-0.05895900040863773,0.060350503811390885,0.5119380450547286,-1.6067926599016493
-0.2970085023034029,-0.20194240683357828,-0.03419224468535422,0.035582422975246275,0.4312784436202661,0.5048438355607872
0.5943016210328254,0.1941047868034708,-0.019637784184543074,0.021027183758566215,-0.8627600987810321,0.6428927105668059
-0.14409743598666205,-0.19827685081641047,-0.016726305259100904,0.018115549056765635,0.04355045880298801,0.806506192055421
2.818604877913034,0.3523086987819195,-0.016728971703982746,0.018118215645108883,0.19018822214978193,0.6053979543923317
