target_6
12-16h
0-4h
12-16h
4-8h
0-4h
4-8h
0-4h
8-12h
8-12h
4-8h
20-24h
20-24h
12-16h
12-16h
20-24h
20-24h
20-24h
20-24h
20-24h
0-4h
8-12h
16-20h
20-24h
20-24h
16-20h
0-4h
16-20h
4-8h
12-16h
16-20h
20-24h
0-4h
0-4h
16-20h
4-8h
4-8h
20-24h
20-24h
4-8h
4-8h
8-12h
12-16h
0-4h
20-24h
8-12h
12-16h
12-16h
20-24h
8-12h
4-8h
8-12h
8-12h
4-8h
16-20h
20-24h
16-20h
8-12h
4-8h
16-20h
8-12h
4-8h
16-20h
12-16h
8-12h
4-8h
4-8h
20-24h
20-24h
4-8h
0-4h
12-16h
8-12h
0-4h
4-8h
8-12h
16-20h
0-4h
8-12h
20-24h
20-24h
12-16h
12-16h
12-16h
12-16h
4-8h
12-16h
20-24h
16-20h
4-8h
16-20h
12-16h
4-8h
16-20h
20-24h
16-20h
20-24h
0-4h
12-16h
20-24h
8-12h
0-4h
4-8h
20-24h
12-16h
20-24h
16-20h
16-20h
8-12h
8-12h
4-8h
20-24h
8-12h
8-12h
20-24h
12-16h
12-16h
20-24h
4-8h
20-24h
12-16h
0-4h
4-8h
0-4h
12-16h
20-24h
4-8h
0-4h
16-20h
0-4h
4-8h
0-4h
4-8h
0-4h
16-20h
4-8h
4-8h
0-4h
8-12h
0-4h
8-12h
12-16h
16-20h
0-4h
8-12h
0-4h
20-24h
12-16h
4-8h
12-16h
20-24h
4-8h
16-20h
8-12h
20-24h
16-20h
20-24h
8-12h
12-16h
12-16h
0-4h
12-16h
8-12h
12-16h
0-4h
16-20h
16-20h
8-12h
16-20h
4-8h
0-4h
4-8h
4-8h
8-12h
20-24h
0-4h
0-4h
0-4h
16-20h
12-16h
12-16h
20-24h
16-20h
20-24h
4-8h
8-12h
8-12h
0-4h
0-4h
8-12h
4-8h
20-24h
20-24h
12-16h
8-12h
12-16h
8-12h
16-20h
12-16h
4-8h
20-24h
16-20h
16-20h
8-12h
8-12h
8-12h
8-12h
8-12h
16-20h
4-8h
20-24h
8-12h
16-20h
20-24h
0-4h
0-4h
0-4h
16-20h
4-8h
16-20h
8-12h
4-8h
12-16h
4-8h
8-12h
20-24h
8-12h
16-20h
4-8h
8-12h
16-20h
0-4h
4-8h
8-12h
4-8h
20-24h
8-12h
0-4h
0-4h
16-20h
20-24h
0-4h
20-24h
4-8h
8-12h
12-16h
20-24h
0-4h
8-12h
12-16h
20-24h
20-24h
4-8h
8-12h
12-16h
0-4h
20-24h
20-24h
16-20h
20-24h
20-24h
20-24h
0-4h
12-16h
20-24h
8-12h
8-12h
20-24h
4-8h
12-16h
16-20h
4-8h
12-16h
0-4h
8-12h
8-12h
12-16h
8-12h
12-16h
12-16h
12-16h
12-16h
20-24h
16-20h
16-20h
20-24h
0-4h
8-12h
8-12h
8-12h
20-24h
20-24h
20-24h
16-20h
8-12h
8-12h
12-16h
12-16h
8-12h
16-20h
0-4h
8-12h
16-20h
20-24h
0-4h
16-20h
16-20h
16-20h
20-24h
8-12h
0-4h
16-20h
16-20h
4-8h
4-8h
8-12h
16-20h
20-24h
20-24h
16-20h
4-8h
12-16h
20-24h
12-16h
16-20h
12-16h
4-8h
20-24h
16-20h
12-16h
8-12h
16-20h
8-12h
0-4h
20-24h
0-4h
8-12h
12-16h
12-16h
8-12h
16-20h
20-24h
8-12h
0-4h
20-24h
12-16h
16-20h
12-16h
8-12h
0-4h
16-20h
20-24h
16-20h
20-24h
4-8h
12-16h
16-20h
0-4h
12-16h
20-24h
